Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,Amorphous,ENavg,dEN,N,Compo
95,34,0,0,72.76923077,0,0,0,0,27.23076923,0,0,0,0,0,0,0.4502571,367.9973,75.05910889,44.03909966,0.157107692,0.113335611,-7.133623669,0,1.696246154,0.124641274,2,Cu/Ti
96,-34,0,0,0,0,0,0,93.22540541,0,6.774594595,0,0,0,0,0,0.113267,505.3484,25.92940164,16.61677672,0.1275066,0.072925238,-6.133623669,0,1.870707351,0.145759473,2,Ni/Zr
97,-17,0,0,0,0,0,0,90.17275676,0,9.827243243,0,0,0,0,0,0.1842283,454.1242,37.8991258,27.51288435,0.12863608,0.085623397,-17.36853245,0,1.853001989,0.172655938,2,Ni/Zr
98,0,0,0,0,0,0,0,87.07102703,0,12.92897297,0,0,0,0,0,0.2137547,402.9,39.01316119,27.5360414,0.12978372,0.095653387,-22.06448352,0,1.835011957,0.194601795,2,Ni/Zr
99,17,0,0,0,0,0,0,80.68086486,0,19.31913514,0,0,0,0,0,0.3096116,381.2297,53.46901124,39.74447141,0.13214808,0.110540132,-30.55021681,0,1.797949016,0.228985038,2,Ni/Zr
100,34,0,0,0,0,0,0,74.2907027,0,25.7092973,0,0,0,0,0,0.5421652,359.5593,88.30806453,72.33610467,0.13451244,0.120213048,-37.43525054,0,1.760886076,0.253478034,2,Ni/Zr
101,-34,0,0,0,0,0,0,81.22217391,0,18.77782609,0,0,0,0,0,0.2291285,408.5731,42.40793092,28.87376948,0.131947796,0.109511454,-29.89344678,0,1.801088609,0.2265103,2,Ni/Zr
102,-17,0,0,0,0,0,0,75.00608696,0,24.99391304,0,0,0,0,0,0.436929,389.6115,77.11535108,61.39499186,0.134247748,0.119332873,-36.74403406,0,1.765035304,0.251126981,2,Ni/Zr
103,0,0,0,0,0,0,0,68.79,0,31.21,0,0,0,0,0,0.6804799,370.65,114.2556033,96.34904635,0.1365477,0.125552936,-42.07994364,0,1.728982,0.26874323,2,Ni/Zr
104,17,0,0,0,0,0,0,59.28663043,0,40.71336957,0,0,0,0,0,0.8234562,387.706,144.624286,123.3753939,0.140063947,0.129784334,-47.30966651,0,1.673862456,0.284954094,2,Ni/Zr
105,34,0,0,0,0,0,0,49.78326087,0,50.21673913,0,0,0,0,0,0.6701707,404.7621,122.8806441,98.2894169,0.143580193,0.128846645,-48.99907927,0,1.618742913,0.289997275,2,Ni/Zr
106,-34,0,0,0,0,0,0,60.80908108,0,39.19091892,0,0,0,0,0,1.086026,317.5604,156.2301195,135.5166733,0.13950064,0.129479933,-46.71000982,0,1.68269267,0.283142418,2,Ni/Zr
